=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.07 16:10:31 =~=~=~=~=~=~=~=~=~=~=~=
Turn on power supply within 5 seconds
Running in 3 seconds
42	Angle:-23.65	AngleRate:0.87	Error:23.65	ErrorRate:-0.87	P:33.12	I:0.41	D:0.00	PID:33	velL:33	velR:0
43	Angle:-23.62	AngleRate:0.87	Error:23.62	ErrorRate:-0.87	P:33.06	I:0.42	D:0.00	PID:33	velL:33	velR:0
44	Angle:-23.54	AngleRate:0.90	Error:23.54	ErrorRate:-0.90	P:32.95	I:0.42	D:0.00	PID:33	velL:33	velR:0
45	Angle:-23.35	AngleRate:0.92	Error:23.35	ErrorRate:-0.92	P:32.69	I:0.43	D:0.00	PID:33	velL:33	velR:0
46	Angle:-23.44	AngleRate:0.81	Error:23.44	ErrorRate:-0.81	P:32.82	I:0.44	D:0.00	PID:33	velL:33	velR:0
47	Angle:-24.16	AngleRate:1.02	Error:24.16	ErrorRate:-1.02	P:33.83	I:0.45	D:1.23	PID:35	velL:35	velR:0
48	Angle:-23.02	AngleRate:0.85	Error:23.02	ErrorRate:-0.85	P:32.22	I:0.46	D:0.00	PID:32	velL:32	velR:0
49	Angle:-24.48	AngleRate:0.87	Error:24.48	ErrorRate:-0.87	P:34.27	I:0.47	D:0.00	PID:34	velL:34	velR:0
50	Angle:-23.36	AngleRate:0.89	Error:23.36	ErrorRate:-0.89	P:32.70	I:0.48	D:0.00	PID:33	velL:33	velR:0
51	Angle:-23.90	AngleRate:0.70	Error:23.90	ErrorRate:-0.70	P:33.45	I:0.49	D:0.00	PID:33	velL:33	velR:0
52	Angle:-23.19	AngleRate:1.08	Error:23.19	ErrorRate:-1.08	P:32.47	I:0.50	D:1.30	PID:34	velL:34	velR:0
53	Angle:-23.02	AngleRate:0.73	Error:23.02	ErrorRate:-0.73	P:32.22	I:0.51	D:0.00	PID:32	velL:32	velR:0
54	Angle:-23.90	AngleRate:1.02	Error:23.90	ErrorRate:-1.02	P:33.45	I:0.52	D:1.23	PID:35	velL:35	velR:0
55	Angle:-22.75	AngleRate:0.92	Error:22.75	ErrorRate:-0.92	P:31.85	I:0.53	D:0.00	PID:32	velL:32	velR:0
56	Angle:-24.28	AngleRate:0.95	Error:24.28	ErrorRate:-0.95	P:33.99	I:0.54	D:0.00	PID:34	velL:34	velR:0
57	Angle:-23.04	AngleRate:0.92	Error:23.04	ErrorRate:-0.92	P:32.25	I:0.55	D:0.00	PID:32	velL:32	velR:0
58	Angle:-24.34	AngleRate:0.85	Error:24.34	ErrorRate:-0.85	P:34.07	I:0.56	D:0.00	PID:34	velL:34	velR:0
59	Angle:-22.97	AngleRate:0.95	Error:22.97	ErrorRate:-0.95	P:32.15	I:0.57	D:0.00	PID:32	velL:32	velR:0
60	Angle:-23.71	AngleRate:0.72	Error:23.71	ErrorRate:-0.72	P:33.19	I:0.58	D:0.00	PID:33	velL:33	velR:0
61	Angle:-23.74	AngleRate:1.02	Error:23.74	ErrorRate:-1.02	P:33.23	I:0.58	D:1.23	PID:35	velL:35	velR:0
62	Angle:-22.82	AngleRate:0.78	Error:22.82	ErrorRate:-0.78	P:31.95	I:0.59	D:0.00	PID:32	velL:32	velR:0
63	Angle:-24.26	AngleRate:0.93	Error:24.26	ErrorRate:-0.93	P:33.97	I:0.60	D:0.00	PID:34	velL:34	velR:0
64	Angle:-22.87	AngleRate:0.78	Error:22.87	ErrorRate:-0.78	P:32.01	I:0.61	D:0.00	PID:32	velL:32	velR:0
65	Angle:-24.27	AngleRate:0.89	Error:24.27	ErrorRate:-0.89	P:33.98	I:0.62	D:0.00	PID:34	velL:34	velR:0
66	Angle:-22.86	AngleRate:0.82	Error:22.86	ErrorRate:-0.82	P:32.00	I:0.63	D:0.00	PID:32	velL:32	velR:0
67	Angle:-23.93	AngleRate:0.79	Error:23.93	ErrorRate:-0.79	P:33.50	I:0.64	D:0.00	PID:34	velL:34	velR:0
68	Angle:-23.02	AngleRate:0.96	Error:23.02	ErrorRate:-0.96	P:32.23	I:0.65	D:0.00	PID:32	velL:32	velR:0
69	Angle:-23.11	AngleRate:0.79	Error:23.11	ErrorRate:-0.79	P:32.36	I:0.66	D:0.00	PID:33	velL:33	velR:0
70	Angle:-23.57	AngleRate:1.04	Error:23.57	ErrorRate:-1.04	P:33.00	I:0.67	D:1.25	PID:34	velL:34	velR:0
71	Angle:-23.08	AngleRate:0.85	Error:23.08	ErrorRate:-0.85	P:32.32	I:0.68	D:0.00	PID:32	velL:32	velR:0
72	Angle:-23.98	AngleRate:1.04	Error:23.98	ErrorRate:-1.04	P:33.57	I:0.69	D:1.25	PID:35	velL:35	velR:0
73	Angle:-23.35	AngleRate:0.79	Error:23.35	ErrorRate:-0.79	P:32.69	I:0.70	D:0.00	PID:33	velL:33	velR:0
74	Angle:-24.02	AngleRate:0.92	Error:24.02	ErrorRate:-0.92	P:33.63	I:0.71	D:0.00	PID:34	velL:34	velR:0
75	Angle:-23.25	AngleRate:0.85	Error:23.25	ErrorRate:-0.85	P:32.55	I:0.72	D:0.00	PID:33	velL:33	velR:0
76	Angle:-23.40	AngleRate:0.89	Error:23.40	ErrorRate:-0.89	P:32.75	I:0.73	D:0.00	PID:33	velL:33	velR:0
77	Angle:-23.44	AngleRate:0.99	Error:23.44	ErrorRate:-0.99	P:32.82	I:0.73	D:0.00	PID:33	velL:33	velR:0
78	Angle:-23.39	AngleRate:0.95	Error:23.39	ErrorRate:-0.95	P:32.74	I:0.74	D:0.00	PID:33	velL:33	velR:0
79	Angle:-23.69	AngleRate:1.01	Error:23.69	ErrorRate:-1.01	P:33.17	I:0.75	D:1.21	PID:35	velL:35	velR:0
80	Angle:-23.80	AngleRate:0.90	Error:23.80	ErrorRate:-0.90	P:33.32	I:0.76	D:0.00	PID:34	velL:34	velR:0
81	Angle:-23.55	AngleRate:0.96	Error:23.55	ErrorRate:-0.96	P:32.97	I:0.77	D:0.00	PID:33	velL:33	velR:0
82	Angle:-23.69	AngleRate:0.85	Error:23.69	ErrorRate:-0.85	P:33.16	I:0.78	D:0.00	PID:33	velL:33	velR:0
83	Angle:-23.47	AngleRate:0.93	Error:23.47	ErrorRate:-0.93	P:32.86	I:0.79	D:0.00	PID:33	velL:33	velR:0
84	Angle:-23.71	AngleRate:0.82	Error:23.71	ErrorRate:-0.82	P:33.20	I:0.80	D:0.00	PID:34	velL:34	velR:0
85	Angle:-23.77	AngleRate:0.87	Error:23.77	ErrorRate:-0.87	P:33.28	I:0.81	D:0.00	PID:34	velL:34	velR:0
86	Angle:-23.97	AngleRate:0.79	Error:23.97	ErrorRate:-0.79	P:33.56	I:0.82	D:0.00	PID:34	velL:34	velR:0
87	Angle:-23.57	AngleRate:0.84	Error:23.57	ErrorRate:-0.84	P:33.00	I:0.83	D:0.00	PID:33	velL:33	velR:0
88	Angle:-23.34	AngleRate:0.81	Error:23.34	ErrorRate:-0.81	P:32.68	I:0.84	D:0.00	PID:33	velL:33	velR:0
89	Angle:-23.39	AngleRate:0.85	Error:23.39	ErrorRate:-0.85	P:32.75	I:0.85	D:0.00	PID:33	velL:33	velR:0
90	Angle:-23.20	AngleRate:0.89	Error:23.20	ErrorRate:-0.89	P:32.48	I:0.86	D:0.00	PID:33	velL:33	velR:0
91	Angle:-23.70	AngleRate:0.92	Error:23.70	ErrorRate:-0.92	P:33.18	I:0.87	D:0.00	PID:34	velL:34	velR:0
92	Angle:-23.50	AngleRate:0.87	Error:23.50	ErrorRate:-0.87	P:32.90	I:0.88	D:0.00	PID:33	velL:33	velR:0
93	Angle:-23.80	AngleRate:0.90	Error:23.80	ErrorRate:-0.90	P:33.32	I:0.89	D:0.00	PID:34	velL:34	velR:0
94	Angle:-23.65	AngleRate:0.85	Error:23.65	ErrorRate:-0.85	P:33.11	I:0.90	D:0.00	PID:34	velL:34	velR:0
95	Angle:-23.66	AngleRate:0.85	Error:23.66	ErrorRate:-0.85	P:33.13	I:0.90	D:0.00	PID:34	velL:34	velR:0
96	Angle:-23.57	AngleRate:0.87	Error:23.57	ErrorRate:-0.87	P:32.99	I:0.91	D:0.00	PID:33	velL:33	velR:0
97	Angle:-23.54	AngleRate:0.85	Error:23.54	ErrorRate:-0.85	P:32.96	I:0.92	D:0.00	PID:33	velL:33	velR:0
98	Angle:-23.29	AngleRate:0.87	Error:23.29	ErrorRate:-0.87	P:32.61	I:0.93	D:0.00	PID:33	velL:33	velR:0
99	Angle:-23.35	AngleRate:0.90	Error:23.35	ErrorRate:-0.90	P:32.70	I:0.94	D:0.00	PID:33	velL:33	velR:0
100	Angle:-23.48	AngleRate:0.93	Error:23.48	ErrorRate:-0.93	P:32.87	I:0.95	D:0.00	PID:33	velL:33	velR:0
101	Angle:-23.86	AngleRate:0.87	Error:23.86	ErrorRate:-0.87	P:33.41	I:0.96	D:0.00	PID:34	velL:34	velR:0
102	Angle:-23.85	AngleRate:0.89	Error:23.85	ErrorRate:-0.89	P:33.39	I:0.97	D:0.00	PID:34	velL:34	velR:0
103	Angle:-23.55	AngleRate:0.85	Error:23.55	ErrorRate:-0.85	P:32.97	I:0.98	D:0.00	PID:33	velL:33	velR:0
104	Angle:-23.41	AngleRate:0.84	Error:23.41	ErrorRate:-0.84	P:32.78	I:0.99	D:0.00	PID:33	velL:33	velR:0
105	Angle:-23.63	AngleRate:0.89	Error:23.63	ErrorRate:-0.89	P:33.08	I:1.00	D:0.00	PID:34	velL:34	velR:0
106	Angle:-23.58	AngleRate:0.84	Error:23.58	ErrorRate:-0.84	P:33.01	I:1.01	D:0.00	PID:34	velL:34	velR:0
107	Angle:-23.91	AngleRate:0.85	Error:23.91	ErrorRate:-0.85	P:33.47	I:1.02	D:0.00	PID:34	velL:34	velR:0
108	Angle:-23.43	AngleRate:0.84	Error:23.43	ErrorRate:-0.84	P:32.80	I:1.03	D:0.00	PID:33	velL:33	velR:0
109	Angle:-23.43	AngleRate:0.79	Error:23.43	ErrorRate:-0.79	P:32.80	I:1.04	D:0.00	PID:33	velL:33	velR:0
